candidate_id,vessel_id,vessel_name,vessel_type,closest_distance_km,spatial_score,temporal_score,anomaly_score,vessel_relevance_score,track_consistency_score,trajectory_consistency_score,reverse_drift_score,false_positive_score,false_positive_risk,candidate_status,suspicion_score,evidence
C01,DEMO-002,MV Blue Horizon,Cargo,1.45,33.3,25,0,8,9.1,10,80.0,25.0,LOW_FALSE_POSITIVE_RISK,RETAINED,78,closest AIS point is 1.45 km away; temporal difference 1.0 hours; vessel type: Cargo; track consistency score 9.1/10; trajectory: vessel approaches and departs candidate region; reverse-drift consistency score 80/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C01,DEMO-004,Coastal Trader,Cargo,8.19,25.4,15,0,8,6.6,0,35.0,25.0,LOW_FALSE_POSITIVE_RISK,RETAINED,49,closest AIS point is 8.19 km away; temporal difference 4.0 hours; vessel type: Cargo; track consistency score 6.6/10; trajectory: insufficient trajectory data; reverse-drift consistency score 35/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C01,DEMO-001,MV Ocean Guardian,Tanker,25.14,5.7,20,15,15,0.9,0,10.0,25.0,LOW_FALSE_POSITIVE_RISK,RETAINED,48,closest AIS point is 25.14 km away; temporal difference 2.0 hours; vessel type: Tanker; track consistency score 0.9/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; AIS gap detected near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C01,DEMO-003,Sea Pearl,Fishing,33.69,0.0,20,0,2,0.0,0,10.0,25.0,LOW_FALSE_POSITIVE_RISK,RETAINED,19,closest AIS point is 33.69 km away; temporal difference 2.0 hours; vessel type: Fishing; track consistency score 0.0/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C02,DEMO-001,MV Ocean Guardian,Tanker,10.59,22.6,20,15,15,6.0,0,35.0,25.0,LOW_FALSE_POSITIVE_RISK,RETAINED,68,closest AIS point is 10.59 km away; temporal difference 2.0 hours; vessel type: Tanker; track consistency score 6.0/10; trajectory: insufficient trajectory data; reverse-drift consistency score 35/100; AIS gap detected near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C02,DEMO-004,Coastal Trader,Cargo,9.08,24.4,20,0,8,6.3,0,35.0,25.0,LOW_FALSE_POSITIVE_RISK,RETAINED,52,closest AIS point is 9.08 km away; temporal difference 2.0 hours; vessel type: Cargo; track consistency score 6.3/10; trajectory: insufficient trajectory data; reverse-drift consistency score 35/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C02,DEMO-003,Sea Pearl,Fishing,15.93,16.4,20,0,2,4.2,0,35.0,25.0,LOW_FALSE_POSITIVE_RISK,RETAINED,38,closest AIS point is 15.93 km away; temporal difference 2.0 hours; vessel type: Fishing; track consistency score 4.2/10; trajectory: insufficient trajectory data; reverse-drift consistency score 35/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C02,DEMO-002,MV Blue Horizon,Cargo,19.08,12.7,15,0,8,2.5,0,10.0,25.0,LOW_FALSE_POSITIVE_RISK,RETAINED,33,closest AIS point is 19.08 km away; temporal difference 4.0 hours; vessel type: Cargo; track consistency score 2.5/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C03,DEMO-003,Sea Pearl,Fishing,1.04,33.8,25,0,2,9.3,10,100.0,33.0,MEDIUM_FALSE_POSITIVE_RISK,RETAINED,75,closest AIS point is 1.04 km away; temporal difference 1.0 hours; vessel type: Fishing; track consistency score 9.3/10; trajectory: vessel approaches and departs candidate region; reverse-drift consistency score 100/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: MEDIUM_FALSE_POSITIVE_RISK
C03,DEMO-001,MV Ocean Guardian,Tanker,24.57,6.3,15,15,15,1.8,0,10.0,33.0,MEDIUM_FALSE_POSITIVE_RISK,RETAINED,45,closest AIS point is 24.57 km away; temporal difference 4.0 hours; vessel type: Tanker; track consistency score 1.8/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; AIS gap detected near candidate detection time; SAR candidate false-positive risk: MEDIUM_FALSE_POSITIVE_RISK
C03,DEMO-004,Coastal Trader,Cargo,25.15,5.7,20,0,8,1.0,0,10.0,33.0,MEDIUM_FALSE_POSITIVE_RISK,RETAINED,30,closest AIS point is 25.15 km away; temporal difference 2.0 hours; vessel type: Cargo; track consistency score 1.0/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: MEDIUM_FALSE_POSITIVE_RISK
C03,DEMO-002,MV Blue Horizon,Cargo,34.91,0.0,15,0,8,0.0,0,10.0,33.0,MEDIUM_FALSE_POSITIVE_RISK,RETAINED,20,closest AIS point is 34.91 km away; temporal difference 4.0 hours; vessel type: Cargo; track consistency score 0.0/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: MEDIUM_FALSE_POSITIVE_RISK
C04,DEMO-001,MV Ocean Guardian,Tanker,0.13,34.9,25,15,15,9.5,10,100.0,28.0,LOW_FALSE_POSITIVE_RISK,RETAINED,100,closest AIS point is 0.13 km away; temporal difference 0.0 hours; vessel type: Tanker; track consistency score 9.5/10; trajectory: vessel approaches and departs candidate region; reverse-drift consistency score 100/100; AIS gap detected near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C04,DEMO-004,Coastal Trader,Cargo,17.32,14.8,20,0,8,3.8,0,35.0,28.0,LOW_FALSE_POSITIVE_RISK,RETAINED,42,closest AIS point is 17.32 km away; temporal difference 2.0 hours; vessel type: Cargo; track consistency score 3.8/10; trajectory: insufficient trajectory data; reverse-drift consistency score 35/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C04,DEMO-002,MV Blue Horizon,Cargo,24.94,5.9,15,0,8,0.9,0,10.0,28.0,LOW_FALSE_POSITIVE_RISK,RETAINED,26,closest AIS point is 24.94 km away; temporal difference 4.0 hours; vessel type: Cargo; track consistency score 0.9/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C04,DEMO-003,Sea Pearl,Fishing,24.42,6.5,20,0,2,1.7,0,10.0,28.0,LOW_FALSE_POSITIVE_RISK,RETAINED,26,closest AIS point is 24.42 km away; temporal difference 2.0 hours; vessel type: Fishing; track consistency score 1.7/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C05,DEMO-001,MV Ocean Guardian,Tanker,1.84,32.8,25,15,15,9.1,10,100.0,18.0,LOW_FALSE_POSITIVE_RISK,RETAINED,97,closest AIS point is 1.84 km away; temporal difference 0.0 hours; vessel type: Tanker; track consistency score 9.1/10; trajectory: vessel approaches and departs candidate region; reverse-drift consistency score 100/100; AIS gap detected near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C05,DEMO-004,Coastal Trader,Cargo,18.48,13.4,20,0,8,3.4,0,35.0,18.0,LOW_FALSE_POSITIVE_RISK,RETAINED,40,closest AIS point is 18.48 km away; temporal difference 2.0 hours; vessel type: Cargo; track consistency score 3.4/10; trajectory: insufficient trajectory data; reverse-drift consistency score 35/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C05,DEMO-002,MV Blue Horizon,Cargo,25.6,5.1,15,0,8,0.7,0,10.0,18.0,LOW_FALSE_POSITIVE_RISK,RETAINED,25,closest AIS point is 25.60 km away; temporal difference 4.0 hours; vessel type: Cargo; track consistency score 0.7/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
C05,DEMO-003,Sea Pearl,Fishing,26.2,4.4,20,0,2,1.1,0,10.0,18.0,LOW_FALSE_POSITIVE_RISK,RETAINED,24,closest AIS point is 26.20 km away; temporal difference 2.0 hours; vessel type: Fishing; track consistency score 1.1/10; trajectory: insufficient trajectory data; reverse-drift consistency score 10/100; no AIS gap near candidate detection time; SAR candidate false-positive risk: LOW_FALSE_POSITIVE_RISK
